accepted,accuracy_accepted,cal_auprc,cal_auroc,cal_brier,cal_ece,cal_n_labeled,ci_high,ci_low,coverage,dataset,mean_cost,method,n,n_test,raw_accuracy,risk_accepted,seed,threshold
0.0,,0.7392595504862532,0.5761316872427984,0.23832783609052113,0.16705814259235402,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,logistic_fusion,90.0,90,0.7,,0,1.01
0.0,,0.7645445240573974,0.5831863609641388,0.2320833333333334,0.1627777777777774,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,best_single_signal,90.0,90,0.7,,0,1.01
0.0,,0.7002437280235836,0.5291005291005291,0.28888888888888886,0.2888888888888889,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,max_signal,90.0,90,0.7,,0,1.01
0.0,,0.6720019296076082,0.47354497354497355,0.2975308641975308,0.2925925925925926,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,rubric_only,90.0,90,0.7,,0,1.01
0.0,,0.7352066989744186,0.6058201058201058,0.3,0.30000000000000004,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,swap_only,90.0,90,0.7,,0,1.01
0.0,,0.7094194056624619,0.5317460317460317,0.2833333333333333,0.26666666666666666,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,self_only,90.0,90,0.7,,0,1.01
90.0,0.7,0.6882576398356535,0.5,0.25,0.19999999999999996,90.0,0.7888888888888889,0.6,1.0,deepseek-chat_mtbench_human,0.0,raw,90.0,90,0.7,0.30000000000000004,0,0.0
0.0,,0.8339466733963067,0.6240446796002351,0.22990462445396234,0.14840583778096134,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,logistic_fusion,90.0,90,0.7,,1,1.01
0.0,,0.7831030860660622,0.591710758377425,0.23625,0.17611111111111083,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,best_single_signal,90.0,90,0.7,,1,1.01
0.0,,0.7043693380949274,0.46825396825396826,0.30493827160493825,0.3148148148148149,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,max_signal,90.0,90,0.7,,1,1.01
0.0,,0.752129175396285,0.5714285714285714,0.26913580246913577,0.25925925925925924,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,rubric_only,90.0,90,0.7,,1,1.01
0.0,,0.7219193495942005,0.544973544973545,0.35555555555555557,0.3555555555555556,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,swap_only,90.0,90,0.7,,1,1.01
0.0,,0.7298212193078345,0.48148148148148145,0.30277777777777776,0.30555555555555564,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,self_only,90.0,90,0.7,,1,1.01
90.0,0.7,0.7225202126055708,0.5,0.25,0.19999999999999996,90.0,0.7777777777777778,0.6,1.0,deepseek-chat_mtbench_human,0.0,raw,90.0,90,0.7,0.30000000000000004,1,0.0
0.0,,0.8375277094762101,0.6577540106951871,0.18778086049847328,0.12822677504433339,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,logistic_fusion,90.0,90,0.7555555555555555,,2,1.01
0.0,,0.8420237967256091,0.6457219251336899,0.18492999999999998,0.12055555555555525,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,best_single_signal,90.0,90,0.7555555555555555,,2,1.01
0.0,,0.7382433456981129,0.5233957219251337,0.23580246913580247,0.22592592592592597,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,max_signal,90.0,90,0.7555555555555555,,2,1.01
0.0,,0.7858496201449011,0.6002673796791443,0.21111111111111108,0.18888888888888883,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,rubric_only,90.0,90,0.7555555555555555,,2,1.01
0.0,,0.8274218886333986,0.6082887700534759,0.26666666666666666,0.26666666666666666,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,swap_only,90.0,90,0.7555555555555555,,2,1.01
0.0,,0.7344978354562223,0.5240641711229946,0.2361111111111111,0.22777777777777783,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,self_only,90.0,90,0.7555555555555555,,2,1.01
90.0,0.7555555555555555,0.7294321598896581,0.5,0.25,0.25555555555555554,90.0,0.8333333333333334,0.6777777777777778,1.0,deepseek-chat_mtbench_human,0.0,raw,90.0,90,0.7555555555555555,0.24444444444444446,2,0.0
0.0,,0.7275364731959271,0.5346854791299236,0.21525124542363436,0.0962163518928702,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,logistic_fusion,90.0,90,0.7,,3,1.01
0.0,,0.8537838583723253,0.6734273956496178,0.22864888888888896,0.182222222222222,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,best_single_signal,90.0,90,0.7,,3,1.01
0.0,,0.7154050929600743,0.5396825396825397,0.2839506172839506,0.2814814814814815,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,max_signal,90.0,90,0.7,,3,1.01
0.0,,0.7183110331985654,0.544973544973545,0.2765432098765432,0.2592592592592593,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,rubric_only,90.0,90,0.7,,3,1.01
0.0,,0.7689177830656929,0.6693121693121693,0.25555555555555554,0.2555555555555556,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,swap_only,90.0,90,0.7,,3,1.01
0.0,,0.7155269744844239,0.5264550264550265,0.2833333333333333,0.26666666666666666,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,self_only,90.0,90,0.7,,3,1.01
90.0,0.7,0.7083193911178921,0.5,0.25,0.19999999999999996,90.0,0.7888888888888889,0.6,1.0,deepseek-chat_mtbench_human,0.0,raw,90.0,90,0.7,0.30000000000000004,3,0.0
0.0,,0.7414405587833122,0.6594805194805194,0.22742418184291233,0.14487323964049656,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,logistic_fusion,90.0,90,0.6111111111111112,,4,1.01
0.0,,0.7743172602457303,0.6607792207792208,0.29095888888888893,0.26677777777777767,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,best_single_signal,90.0,90,0.6111111111111112,,4,1.01
0.0,,0.6860754155112261,0.5012987012987012,0.3802469135802469,0.3703703703703703,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,max_signal,90.0,90,0.6111111111111112,,4,1.01
0.0,,0.6415129237666833,0.4844155844155844,0.37407407407407395,0.3444444444444445,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,rubric_only,90.0,90,0.6111111111111112,,4,1.01
0.0,,0.7329022624296588,0.6142857142857143,0.34444444444444444,0.34444444444444444,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,swap_only,90.0,90,0.6111111111111112,,4,1.01
0.0,,0.6587644979977572,0.4935064935064935,0.375,0.3611111111111111,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,self_only,90.0,90,0.6111111111111112,,4,1.01
90.0,0.6111111111111112,0.6688125488425021,0.5,0.25,0.11111111111111116,90.0,0.7,0.5111111111111111,1.0,deepseek-chat_mtbench_human,0.0,raw,90.0,90,0.6111111111111112,0.38888888888888884,4,0.0
0.0,,0.8558333218065453,0.7010216346153846,0.18909940802596076,0.08941159892863008,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,logistic_fusion,90.0,90,0.7111111111111111,,5,1.01
0.0,,0.8225972734718608,0.6610576923076923,0.2176944444444447,0.15611111111111076,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,best_single_signal,90.0,90,0.7111111111111111,,5,1.01
0.0,,0.6944463934513933,0.5150240384615384,0.2802469135802469,0.27037037037037037,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,max_signal,90.0,90,0.7111111111111111,,5,1.01
0.0,,0.6930136051303423,0.5108173076923077,0.27777777777777773,0.2555555555555556,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,rubric_only,90.0,90,0.7111111111111111,,5,1.01
0.0,,0.7598090924414741,0.6334134615384616,0.2777777777777778,0.2777777777777778,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,swap_only,90.0,90,0.7111111111111111,,5,1.01
0.0,,0.7004675219890518,0.5222355769230769,0.275,0.2611111111111111,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,self_only,90.0,90,0.7111111111111111,,5,1.01
90.0,0.7111111111111111,0.6731548555581123,0.5,0.25,0.21111111111111114,90.0,0.8,0.6222222222222222,1.0,deepseek-chat_mtbench_human,0.0,raw,90.0,90,0.7111111111111111,0.28888888888888886,5,0.0
0.0,,0.8264191848498831,0.609344581440623,0.2120140228382223,0.12541248565283422,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,logistic_fusion,90.0,90,0.7444444444444445,,6,1.01
0.0,,0.8444174393231048,0.6353017521090201,0.19896444444444436,0.1357777777777775,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,best_single_signal,90.0,90,0.7444444444444445,,6,1.01
0.0,,0.7992995440208586,0.5142764438676184,0.2506172839506173,0.24814814814814815,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,max_signal,90.0,90,0.7444444444444445,,6,1.01
0.0,,0.8068524257389883,0.5571057754704737,0.23580246913580247,0.2259259259259259,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,rubric_only,90.0,90,0.7444444444444445,,6,1.01
0.0,,0.8017177273896425,0.5327709279688514,0.35555555555555557,0.35555555555555557,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,swap_only,90.0,90,0.7444444444444445,,6,1.01
0.0,,0.7802147056654891,0.49870214146658015,0.25555555555555554,0.25555555555555554,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,self_only,90.0,90,0.7444444444444445,,6,1.01
90.0,0.7444444444444445,0.8032857673103693,0.5,0.25,0.24444444444444446,90.0,0.8333333333333334,0.6444444444444445,1.0,deepseek-chat_mtbench_human,0.0,raw,90.0,90,0.7444444444444445,0.25555555555555554,6,0.0
0.0,,0.8449187632734609,0.6826036866359447,0.21331059672844285,0.11933803174463695,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,logistic_fusion,90.0,90,0.6888888888888889,,7,1.01
0.0,,0.8577429344837829,0.722926267281106,0.2286244444444445,0.19555555555555537,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,best_single_signal,90.0,90,0.6888888888888889,,7,1.01
0.0,,0.7147825665427306,0.5455069124423964,0.2938271604938272,0.2962962962962963,90.0,,,0.0,deepseek-chat_mtbench_human,0.0,max_signal,90.0,90,0.6888888888888889,,7,1.01
