accepted,accuracy_accepted,cal_auprc,cal_auroc,cal_brier,cal_ece,cal_n_labeled,ci_high,ci_low,coverage,dataset,mean_cost,method,n,n_test,raw_accuracy,risk_accepted,seed,threshold
18.0,0.8888888888888888,0.9500191850266366,0.7238372093023255,0.06730525292967778,0.031081276832141055,186.0,1.0,0.7222222222222222,0.0967741935483871,gpt-5_5_judgebench,0.0,logistic_fusion,186.0,186,0.9247311827956989,0.11111111111111116,0,0.9951924454197004
186.0,0.9247311827956989,0.9763236406626283,0.7539451827242525,0.07023683870967744,0.054161290322580734,186.0,0.9623655913978495,0.8817204301075269,1.0,gpt-5_5_judgebench,0.0,best_single_signal,186.0,186,0.9247311827956989,0.07526881720430112,0,0.5640000000000001
186.0,0.9247311827956989,0.9424077614918398,0.5,0.07526881720430108,0.07526881720430112,186.0,0.9623655913978495,0.8817204301075269,1.0,gpt-5_5_judgebench,0.0,max_signal,186.0,186,0.9247311827956989,0.07526881720430112,0,1.0
186.0,0.9247311827956989,0.9714964222976522,0.7063953488372093,0.06421744324970131,0.04659498207885307,186.0,0.9623655913978495,0.8817204301075269,1.0,gpt-5_5_judgebench,0.0,rubric_only,186.0,186,0.9247311827956989,0.07526881720430112,0,0.5
168.0,0.9345238095238095,0.9421209026962266,0.5635382059800664,0.13978494623655913,0.13978494623655913,186.0,0.9702380952380952,0.8928571428571429,0.9032258064516129,gpt-5_5_judgebench,0.0,swap_only,186.0,186,0.9247311827956989,0.06547619047619047,0,1.0
181.0,0.9281767955801105,0.9431323724125,0.5240863787375415,0.07661290322580645,0.07795698924731187,186.0,0.9613259668508287,0.8895027624309392,0.9731182795698925,gpt-5_5_judgebench,0.0,self_only,186.0,186,0.9247311827956989,0.07182320441988954,0,1.0
186.0,0.9247311827956989,0.9424077614918398,0.5,0.25,0.4247311827956989,186.0,0.9623655913978495,0.8817204301075269,1.0,gpt-5_5_judgebench,0.0,raw,186.0,186,0.9247311827956989,0.07526881720430112,0,0.0
12.0,1.0,0.9758683348245615,0.8517229376957883,0.0648584601760465,0.017091828199055536,186.0,1.0,1.0,0.06451612903225806,gpt-5_5_judgebench,0.0,logistic_fusion,186.0,186,0.9086021505376344,0.0,1,0.9964093530982974
185.0,0.9081081081081082,0.9851459960796912,0.866689871214758,0.07066868817204304,0.05937634408602133,186.0,0.9459459459459459,0.8648648648648649,0.9946236559139785,gpt-5_5_judgebench,0.0,best_single_signal,186.0,186,0.9086021505376344,0.09189189189189184,1,0.5780000000000001
184.0,0.907608695652174,0.8964659305166421,0.4940828402366864,0.09259259259259259,0.09498207885304658,186.0,0.9456521739130435,0.8641304347826086,0.989247311827957,gpt-5_5_judgebench,0.0,max_signal,186.0,186,0.9086021505376344,0.09239130434782605,1,1.0
186.0,0.9086021505376344,0.9203049211600846,0.6211277410372433,0.08154121863799282,0.06451612903225808,186.0,0.946236559139785,0.8655913978494624,1.0,gpt-5_5_judgebench,0.0,rubric_only,186.0,186,0.9086021505376344,0.09139784946236562,1,0.5
165.0,0.9212121212121213,0.9028939216865783,0.5673512008353637,0.16129032258064516,0.16129032258064513,186.0,0.9575757575757575,0.8787878787878788,0.8870967741935484,gpt-5_5_judgebench,0.0,swap_only,186.0,186,0.9086021505376344,0.07878787878787874,1,1.0
180.0,0.9111111111111111,0.8978756236654818,0.5146188652975984,0.09408602150537634,0.09677419354838712,186.0,0.95,0.8666666666666667,0.967741935483871,gpt-5_5_judgebench,0.0,self_only,186.0,186,0.9086021505376344,0.0888888888888889,1,1.0
186.0,0.9086021505376344,0.8980580502642068,0.5,0.25,0.4086021505376344,186.0,0.946236559139785,0.8655913978494624,1.0,gpt-5_5_judgebench,0.0,raw,186.0,186,0.9086021505376344,0.09139784946236562,1,0.0
185.0,0.9027027027027027,0.9635315904902136,0.7678571428571429,0.08637903803417317,0.06117899403115934,186.0,0.9405405405405406,0.8594594594594595,0.9946236559139785,gpt-5_5_judgebench,0.0,logistic_fusion,186.0,186,0.9032258064516129,0.0972972972972973,2,0.3105317771117624
184.0,0.9021739130434783,0.971255329965435,0.7825727513227513,0.08210015053763448,0.03609677419354833,186.0,0.9402173913043478,0.8586956521739131,0.989247311827957,gpt-5_5_judgebench,0.0,best_single_signal,186.0,186,0.9032258064516129,0.09782608695652173,2,0.6
185.0,0.9027027027027027,0.9069269915859758,0.49702380952380953,0.09737156511350059,0.09856630824372761,186.0,0.9405405405405406,0.8594594594594595,0.9946236559139785,gpt-5_5_judgebench,0.0,max_signal,186.0,186,0.9032258064516129,0.0972972972972973,2,1.0
184.0,0.907608695652174,0.9331203239133068,0.6459986772486772,0.08273596176821983,0.07168458781362005,186.0,0.9456521739130435,0.8641304347826086,0.989247311827957,gpt-5_5_judgebench,0.0,rubric_only,186.0,186,0.9032258064516129,0.09239130434782605,2,0.6666666666666666
172.0,0.9127906976744186,0.9090741352624955,0.5505952380952381,0.13978494623655913,0.13978494623655918,186.0,0.9534883720930233,0.872093023255814,0.9247311827956989,gpt-5_5_judgebench,0.0,swap_only,186.0,186,0.9032258064516129,0.08720930232558144,2,1.0
178.0,0.9044943820224719,0.9053695928265842,0.5069444444444444,0.10215053763440861,0.10752688172043012,186.0,0.9438202247191011,0.8651685393258427,0.956989247311828,gpt-5_5_judgebench,0.0,self_only,186.0,186,0.9032258064516129,0.0955056179775281,2,1.0
