accepted,accuracy_accepted,cal_auprc,cal_auroc,cal_brier,cal_ece,cal_n_labeled,ci_high,ci_low,coverage,dataset,mean_cost,method,n,n_test,raw_accuracy,risk_accepted,seed,threshold
0.0,,0.8924875095305188,0.6494932432432432,0.176122072190983,0.15124702883975621,90.0,,,0.0,gpt-5_5_tldr,0.0,logistic_fusion,90.0,90,0.8222222222222222,,0,1.01
0.0,,0.9126549135970667,0.6722972972972973,0.13838395555555552,0.08717777777777785,90.0,,,0.0,gpt-5_5_tldr,0.0,best_single_signal,90.0,90,0.8222222222222222,,0,1.01
0.0,,0.8645531920545576,0.5,0.17777777777777778,0.1777777777777778,90.0,,,0.0,gpt-5_5_tldr,0.0,max_signal,90.0,90,0.8222222222222222,,0,1.01
0.0,,0.8697535115301268,0.5734797297297297,0.16296296296296295,0.15555555555555556,90.0,,,0.0,gpt-5_5_tldr,0.0,rubric_only,90.0,90,0.8222222222222222,,0,1.01
0.0,,0.8645982474576047,0.566722972972973,0.18888888888888888,0.18888888888888886,90.0,,,0.0,gpt-5_5_tldr,0.0,swap_only,90.0,90,0.8222222222222222,,0,1.01
0.0,,0.8631509777741132,0.5109797297297297,0.17777777777777778,0.17777777777777776,90.0,,,0.0,gpt-5_5_tldr,0.0,self_only,90.0,90,0.8222222222222222,,0,1.01
90.0,0.8222222222222222,0.8645531920545576,0.5,0.25,0.3222222222222222,90.0,0.8888888888888888,0.7333333333333333,1.0,gpt-5_5_tldr,0.0,raw,90.0,90,0.8222222222222222,0.1777777777777778,0,0.0
0.0,,0.7920584859123413,0.6755050505050505,0.17519673887557938,0.07017134760616382,90.0,,,0.0,gpt-5_5_tldr,0.0,logistic_fusion,90.0,90,0.7333333333333333,,1,1.01
33.0,0.9393939393939394,0.8866416050827313,0.7124368686868687,0.1907252,0.1141111111111112,90.0,1.0,0.8484848484848485,0.36666666666666664,gpt-5_5_tldr,0.0,best_single_signal,90.0,90,0.7333333333333333,0.06060606060606055,1,0.8880000000000001
0.0,,0.7285924112518318,0.5,0.26666666666666666,0.2666666666666667,90.0,,,0.0,gpt-5_5_tldr,0.0,max_signal,90.0,90,0.7333333333333333,,1,1.01
