accepted,accuracy_accepted,cal_auprc,cal_auroc,cal_brier,cal_ece,cal_n_labeled,ci_high,ci_low,coverage,dataset,mean_cost,method,n,n_test,raw_accuracy,risk_accepted,seed,threshold
0.0,,0.5309297995560895,0.44141122035858876,0.27747195376053624,0.1401120042530033,186.0,,,0.0,judgebench,0.0,logistic_fusion,186.0,186,0.510752688172043,,0,1.01
0.0,,0.5628219881494062,0.5429728166570272,0.46236559139784944,0.4623655913978495,186.0,,,0.0,judgebench,0.0,best_single_signal,186.0,186,0.510752688172043,,0,1.01
0.0,,0.5012337950291577,0.48600347021399654,0.47861111111111115,0.47096774193548385,186.0,,,0.0,judgebench,0.0,max_signal,186.0,186,0.510752688172043,,0,1.01
0.0,,0.49907917813172,0.4778484673221515,0.4626314217443249,0.4539426523297491,186.0,,,0.0,judgebench,0.0,rubric_only,186.0,186,0.510752688172043,,0,1.01
0.0,,0.5628219881494062,0.5429728166570272,0.46236559139784944,0.4623655913978495,186.0,,,0.0,judgebench,0.0,swap_only,186.0,186,0.510752688172043,,0,1.01
0.0,,0.49032368862342135,0.456390977443609,0.4289127837514935,0.37992831541218636,186.0,,,0.0,judgebench,0.0,self_only,186.0,186,0.510752688172043,,0,1.01
186.0,0.510752688172043,0.5200805720396414,0.5,0.25,0.010752688172043001,186.0,0.5806451612903226,0.44086021505376344,1.0,judgebench,0.0,raw,186.0,186,0.510752688172043,0.489247311827957,0,0.0
0.0,,0.5588590372338811,0.5431712962962963,0.24706575930525088,0.04363415710350188,186.0,,,0.0,judgebench,0.0,logistic_fusion,186.0,186,0.4838709677419355,,1,1.01
0.0,,0.49811659012214204,0.53125,0.46236559139784944,0.4623655913978495,186.0,,,0.0,judgebench,0.0,best_single_signal,186.0,186,0.4838709677419355,,1,1.01
0.0,,0.4481161757253203,0.4650462962962963,0.5083557347670252,0.4959677419354838,186.0,,,0.0,judgebench,0.0,max_signal,186.0,186,0.4838709677419355,,1,1.01
0.0,,0.4551159884547336,0.43657407407407406,0.48380376344086035,0.4572580645161291,186.0,,,0.0,judgebench,0.0,rubric_only,186.0,186,0.4838709677419355,,1,1.01
0.0,,0.49811659012214204,0.53125,0.46236559139784944,0.4623655913978495,186.0,,,0.0,judgebench,0.0,swap_only,186.0,186,0.4838709677419355,,1,1.01
0.0,,0.4452169935065909,0.4685185185185185,0.44295101553166083,0.4050179211469533,186.0,,,0.0,judgebench,0.0,self_only,186.0,186,0.4838709677419355,,1,1.01
186.0,0.4838709677419355,0.4532993653922804,0.5,0.25,0.016129032258064502,186.0,0.5591397849462365,0.40860215053763443,1.0,judgebench,0.0,raw,186.0,186,0.4838709677419355,0.5161290322580645,1,0.0
0.0,,0.5607351022903296,0.5661424606845513,0.25191126520256074,0.050682413962906646,186.0,,,0.0,judgebench,0.0,logistic_fusion,186.0,186,0.5053763440860215,,2,1.01
0.0,,0.5986864859913351,0.550531914893617,0.45161290322580644,0.4516129032258065,186.0,,,0.0,judgebench,0.0,best_single_signal,186.0,186,0.5053763440860215,,2,1.01
0.0,,0.5405926569174989,0.5011563367252544,0.4828390083632019,0.4805555555555555,186.0,,,0.0,judgebench,0.0,max_signal,186.0,186,0.5053763440860215,,2,1.01
0.0,,0.5169307327327737,0.4964731729879741,0.44805107526881716,0.4266129032258065,186.0,,,0.0,judgebench,0.0,rubric_only,186.0,186,0.5053763440860215,,2,1.01
0.0,,0.5986864859913351,0.550531914893617,0.45161290322580644,0.4516129032258065,186.0,,,0.0,judgebench,0.0,swap_only,186.0,186,0.5053763440860215,,2,1.01
0.0,,0.5194125266454089,0.4843894542090657,0.42398446833930714,0.37724014336917555,186.0,,,0.0,judgebench,0.0,self_only,186.0,186,0.5053763440860215,,2,1.01
186.0,0.5053763440860215,0.5718870466013807,0.5,0.25,0.005376344086021501,186.0,0.5752688172043011,0.43548387096774194,1.0,judgebench,0.0,raw,186.0,186,0.5053763440860215,0.4946236559139785,2,0.0
0.0,,0.5371031986663604,0.4726431463273569,0.25916067968387735,0.11882034932593356,186.0,,,0.0,judgebench,0.0,logistic_fusion,186.0,186,0.510752688172043,,3,1.01
0.0,,0.5567152159451738,0.5262579525737421,0.478494623655914,0.478494623655914,186.0,,,0.0,judgebench,0.0,best_single_signal,186.0,186,0.510752688172043,,3,1.01
