accepted,accuracy_accepted,cal_auprc,cal_auroc,cal_brier,cal_ece,cal_n_labeled,ci_high,ci_low,coverage,dataset,mean_cost,method,n,n_test,raw_accuracy,risk_accepted,seed,threshold
0.0,,0.8679113658918123,0.7207461842849068,0.19770820352339463,0.101051572608534,90.0,,,0.0,mtbench_human,0.0,logistic_fusion,90.0,90,0.6777777777777778,,0,1.01
0.0,,0.8190129776604576,0.6554550593555681,0.34444444444444444,0.34444444444444444,90.0,,,0.0,mtbench_human,0.0,best_single_signal,90.0,90,0.6777777777777778,,0,1.01
0.0,,0.7669331681804201,0.5525720746184285,0.2998518518518518,0.29333333333333333,90.0,,,0.0,mtbench_human,0.0,max_signal,90.0,90,0.6777777777777778,,0,1.01
0.0,,0.7975330040112907,0.608535895986433,0.26888888888888884,0.2422222222222222,90.0,,,0.0,mtbench_human,0.0,rubric_only,90.0,90,0.6777777777777778,,0,1.01
0.0,,0.8190129776604576,0.6554550593555681,0.34444444444444444,0.34444444444444444,90.0,,,0.0,mtbench_human,0.0,swap_only,90.0,90,0.6777777777777778,,0,1.01
0.0,,0.7253380159797409,0.505087620124364,0.29999999999999993,0.25555555555555554,90.0,,,0.0,mtbench_human,0.0,self_only,90.0,90,0.6777777777777778,,0,1.01
90.0,0.6777777777777778,0.7331565159328577,0.5,0.25,0.1777777777777778,90.0,0.7666666666666667,0.5777777777777777,1.0,mtbench_human,0.0,raw,90.0,90,0.6777777777777778,0.3222222222222222,0,0.0
29.0,0.6896551724137931,0.7391730909987658,0.5103686635944701,0.25387295638129026,0.15897757310355412,90.0,0.8620689655172413,0.5172413793103449,0.32222222222222224,mtbench_human,0.0,logistic_fusion,90.0,90,0.6888888888888889,0.31034482758620685,1,0.7461482256836923
0.0,,0.7144752413354044,0.5144009216589862,0.4666666666666667,0.4666666666666667,90.0,,,0.0,mtbench_human,0.0,best_single_signal,90.0,90,0.6888888888888889,,1,1.01
0.0,,0.7455676514126528,0.48473502304147464,0.3112592592592593,0.31777777777777777,90.0,,,0.0,mtbench_human,0.0,max_signal,90.0,90,0.6888888888888889,,1,1.01
0.0,,0.7774174577353808,0.4838709677419355,0.3075555555555555,0.32,90.0,,,0.0,mtbench_human,0.0,rubric_only,90.0,90,0.6888888888888889,,1,1.01
0.0,,0.7144752413354044,0.5144009216589862,0.4666666666666667,0.4666666666666667,90.0,,,0.0,mtbench_human,0.0,swap_only,90.0,90,0.6888888888888889,,1,1.01
0.0,,0.7192004442806762,0.4441244239631336,0.3024691358024691,0.28518518518518526,90.0,,,0.0,mtbench_human,0.0,self_only,90.0,90,0.6888888888888889,,1,1.01
90.0,0.6888888888888889,0.7674688636198672,0.5,0.25,0.18888888888888888,90.0,0.7777777777777778,0.5888888888888889,1.0,mtbench_human,0.0,raw,90.0,90,0.6888888888888889,0.3111111111111111,1,0.0
0.0,,0.7629381786481039,0.631336405529954,0.22437973002591732,0.13603270990823663,90.0,,,0.0,mtbench_human,0.0,logistic_fusion,90.0,90,0.6888888888888889,,2,1.01
0.0,,0.796543313923203,0.6664746543778802,0.3111111111111111,0.3111111111111111,90.0,,,0.0,mtbench_human,0.0,best_single_signal,90.0,90,0.6888888888888889,,2,1.01
0.0,,0.7311884889787471,0.5178571428571429,0.30493827160493825,0.3074074074074074,90.0,,,0.0,mtbench_human,0.0,max_signal,90.0,90,0.6888888888888889,,2,1.01
0.0,,0.7453820617656558,0.592741935483871,0.27644444444444444,0.2666666666666667,90.0,,,0.0,mtbench_human,0.0,rubric_only,90.0,90,0.6888888888888889,,2,1.01
0.0,,0.796543313923203,0.6664746543778802,0.3111111111111111,0.3111111111111111,90.0,,,0.0,mtbench_human,0.0,swap_only,90.0,90,0.6888888888888889,,2,1.01
0.0,,0.7067949395942665,0.4988479262672811,0.2975308641975308,0.27037037037037037,90.0,,,0.0,mtbench_human,0.0,self_only,90.0,90,0.6888888888888889,,2,1.01
90.0,0.6888888888888889,0.7307780528747556,0.5,0.25,0.18888888888888888,90.0,0.7888888888888889,0.6,1.0,mtbench_human,0.0,raw,90.0,90,0.6888888888888889,0.3111111111111111,2,0.0
0.0,,0.7425703800927281,0.638755980861244,0.23169979487597192,0.15565006964520586,90.0,,,0.0,mtbench_human,0.0,logistic_fusion,90.0,90,0.6333333333333333,,3,1.01
0.0,,0.7883740025422471,0.6451355661881978,0.34444444444444444,0.34444444444444444,90.0,,,0.0,mtbench_human,0.0,best_single_signal,90.0,90,0.6333333333333333,,3,1.01
0.0,,0.7987138377416821,0.5526315789473685,0.34459259259259256,0.35111111111111115,90.0,,,0.0,mtbench_human,0.0,max_signal,90.0,90,0.6333333333333333,,3,1.01
0.0,,0.7931926309438562,0.562200956937799,0.32311111111111107,0.30888888888888894,90.0,,,0.0,mtbench_human,0.0,rubric_only,90.0,90,0.6333333333333333,,3,1.01
0.0,,0.7883740025422471,0.6451355661881978,0.34444444444444444,0.34444444444444444,90.0,,,0.0,mtbench_human,0.0,swap_only,90.0,90,0.6333333333333333,,3,1.01
0.0,,0.801510442690467,0.6291866028708134,0.29999999999999993,0.29999999999999993,90.0,,,0.0,mtbench_human,0.0,self_only,90.0,90,0.6333333333333333,,3,1.01
